timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664629276553,-0.4736328,0.08496094,0.12988281,11.8125,12.5625,64.90625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276583,-0.67285156,-0.0068359375,0.048828125,-12.59375,39.1875,100.9375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276643,-0.53515625,-0.19238281,0.013671875,22.6875,43.21875,86.65625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276672,-0.72753906,-0.18554688,0.049804688,-1.375,43.15625,40.1875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276707,-0.9013672,-0.045898438,0.24804688,55.8125,60.84375,16.625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276763,-0.8095703,-0.052734375,0.15527344,20.71875,38.03125,5.28125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276798,-1.4853516,0.07519531,0.54296875,-65.53125,29.96875,-2.84375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276822,-1.4511719,0.296875,-0.22070312,-192.65625,-1.59375,-47.25,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276884,-1.71875,-0.06640625,0.125,-40.5,-96.3125,-2.9375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276913,-1.2822266,-0.640625,-0.12207031,-11.75,-30.75,-5.9375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276943,-1.2138672,-0.13671875,-0.095703125,123.03125,-46.375,-1.5625,-112.0625,20.875,-166.375,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277003,-1.2753906,0.4111328,-0.015625,66.1875,46.15625,9.9375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277034,-0.9433594,0.17871094,0.14648438,5.53125,84.15625,39.34375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277063,-0.8730469,-0.12109375,0.10449219,27.96875,43.21875,50.4375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277123,-0.7939453,0.046875,0.049804688,33.53125,18.9375,34.59375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277155,-0.86035156,-0.068359375,-0.0048828125,23.71875,14.15625,25.6875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277184,-0.8720703,-0.095703125,0.11230469,-4.125,15.4375,-0.09375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277243,-0.7363281,-0.14160156,0.06542969,-9.125,-7.8125,1.0625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277283,-0.8173828,-0.1640625,0.04296875,-17.78125,2.6875,-25.09375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277304,-0.63378906,0.19726562,-0.087890625,3.3125,-12.9375,-37.1875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277365,-0.52246094,0.09277344,0.10253906,25.71875,-19.15625,-20.65625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277393,-1.0644531,0.13476562,0.034179688,-25.53125,-10.125,-20.59375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277422,-0.84277344,-0.24804688,-0.009765625,-54.78125,-8.1875,-1.65625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277487,-1.6181641,-0.31347656,0.09667969,-50.09375,-31.0625,-64.71875,-113.875,21.1875,-170.625,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277512,-1.96875,0.2421875,-0.109375,-6.5625,-54.875,-111.40625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277542,-1.4394531,0.42578125,0.09863281,-9.96875,-33.8125,-97.25,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277604,-1.3125,-0.20605469,0.15429688,-53.6875,-3.78125,-49.03125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277639,-0.9267578,-0.01953125,0.3359375,-12.46875,-25.875,-16.375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277662,-0.8105469,0.07714844,0.15136719,-5.03125,-44.84375,6.875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277722,-0.65625,0.10449219,0.043945312,-17.96875,-31.75,27.4375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277756,-0.49609375,0.13964844,0.018554688,-15.34375,-24.65625,50.09375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277783,-0.48046875,0.06738281,-0.09667969,-39.9375,-12.21875,69.0625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277842,-0.5175781,0.016601562,0.05078125,-37.25,-8.3125,71.9375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277875,-0.7392578,-0.45703125,0.13378906,-16.9375,26.1875,100.4375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277903,-0.6484375,-0.33398438,0.15136719,5.65625,41.09375,35.5,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277964,-0.8935547,-0.13769531,0.22460938,87.4375,22.28125,9.0,-116.375,21.1875,-166.375,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629277991,-1.2792969,0.09472656,0.43847656,43.84375,-5.0,-14.0625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629278023,-1.9863281,0.5097656,0.3017578,-105.0625,-36.0625,10.59375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629278083,-0.97558594,0.3984375,-0.14453125,-184.90625,20.4375,-0.8125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629278115,-1.7070312,-1.2783203,0.2705078,-87.5,69.9375,31.59375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629278142,-1.2451172,0.0625,-0.107421875,92.1875,-13.96875,5.34375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629278202,-1.0615234,0.37597656,-0.12695312,52.59375,6.03125,-3.3125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629278232,-0.8300781,0.18164062,0.051757812,19.3125,59.09375,22.1875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629278263,-0.7578125,0.21875,0.17871094,35.96875,13.0625,21.46875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629278325,-0.8183594,0.005859375,0.051757812,36.34375,-25.6875,18.53125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
